Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,Pearl,FURIA,1,0,0,0,8,0,5,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,Pearl,LEVIATÁN,8,0,5,0,1,0,0,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Pearl,G2 Esports,10,0,3,0,4,0,0,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Pearl,100 Thieves,4,0,0,0,10,0,3,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Lotus,G2 Esports,10,0,3,0,5,0,2,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Lotus,100 Thieves,5,0,2,0,10,0,3,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Split,MIBR,2,4,4,0,8,2,3,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Split,LEVIATÁN,8,2,3,0,2,4,4,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Fracture,MIBR,10,1,2,0,0,0,4,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Fracture,LEVIATÁN,0,0,4,0,10,1,2,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Ascent,MIBR,2,1,2,2,7,3,2,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,Ascent,LEVIATÁN,7,3,2,1,2,1,2,2
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs G2 Esports,Lotus,KRÜ Esports,7,1,3,0,8,2,3,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs G2 Esports,Lotus,G2 Esports,8,2,3,0,7,1,3,0
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs G2 Esports,Breeze,KRÜ Esports,6,0,1,0,9,0,4,0
