Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,15,G2 Esports,,15.2k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,15,MIBR,,1.3k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,16,G2 Esports,,3.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,16,MIBR,,4.7k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,17,G2 Esports,,14.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,17,MIBR,,7.9k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,18,G2 Esports,,22.3k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,18,MIBR,,1.5k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,19,G2 Esports,,7.9k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,19,MIBR,,5.7k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,20,G2 Esports,,9.1k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,20,MIBR,,8.8k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,21,G2 Esports,,6.7k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,21,MIBR,,1.4k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,22,G2 Esports,,8.1k,Semi-eco: 5-10k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,22,MIBR,,6.5k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,23,G2 Esports,,7.6k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,23,MIBR,,1.1k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,24,G2 Esports,,0.6k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,24,MIBR,,5.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,25,G2 Esports,,1.5k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,25,MIBR,,1.0k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,26,G2 Esports,,1.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,26,MIBR,,1.0k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,27,G2 Esports,,1.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,27,MIBR,,1.0k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,28,G2 Esports,,0.7k,Full buy: 20k+,Win
