Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,20,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,21,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,21,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,1,MIBR,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,1,G2 Esports,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,2,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,2,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,3,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,3,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,4,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,4,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,5,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,5,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,6,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,6,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,7,G2 Esports,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,7,MIBR,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,8,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,8,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,9,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,9,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,10,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,10,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,11,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,11,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,12,MIBR,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,12,G2 Esports,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,13,G2 Esports,Elimination,Win
