Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Lotus,Natus Vincere,7,6,1,,Team Liquid,13,7,6,,44:34
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Haven,GIANTX,13,10,3,,FNATIC,3,1,2,,37:07
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Bind,GIANTX,7,2,5,,FNATIC,13,3,10,,42:13
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Breeze,GIANTX,9,7,2,,FNATIC,13,8,5,,45:51
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Haven,Karmine Corp,13,7,6,,FUT Esports,9,4,5,,45:47
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,Karmine Corp,10,7,3,,FUT Esports,13,8,5,,49:05
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Bind,Karmine Corp,8,4,4,,FUT Esports,13,5,8,,42:26
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Fracture,Gentle Mates,4,4,0,,Team Heretics,13,5,8,,35:20
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Lotus,Gentle Mates,10,7,3,,Team Heretics,13,8,5,,51:09
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Lotus,BBL Esports,8,6,2,,Team Vitality,13,7,6,,50:48
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Haven,BBL Esports,13,4,9,,Team Vitality,10,2,8,,51:58
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Breeze,BBL Esports,13,11,2,,Team Vitality,5,4,1,,40:42
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Lotus,Team Heretics,13,4,9,,FUT Esports,11,3,8,,51:28
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Split,Team Heretics,13,10,3,,FUT Esports,2,0,2,,33:50
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Haven,Team Vitality,13,5,8,,PCIFIC Esports,9,2,7,,55:43
