Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,FNATIC vs Team Heretics,660389,Fracture,265488
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,FNATIC vs Team Heretics,660389,Lotus,265489
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,FNATIC vs Team Heretics,660389,Ascent,265490
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,Eternal Fire vs Gentle Mates,660390,Ascent,265491
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,Eternal Fire vs Gentle Mates,660390,Lotus,265492
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Final,FUT Esports vs Team Vitality,660385,Pearl,265474
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Final,FUT Esports vs Team Vitality,660385,Ascent,265475
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Final,FUT Esports vs Team Vitality,660385,Split,265476
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 3,Team Heretics vs Eternal Fire,660391,Lotus,265494
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 3,Team Heretics vs Eternal Fire,660391,Fracture,265495
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 3,Team Heretics vs Eternal Fire,660391,Ascent,265496
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Final,FUT Esports vs Team Heretics,660392,Haven,265497
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Final,FUT Esports vs Team Heretics,660392,Lotus,265498
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Final,FUT Esports vs Team Heretics,660392,Ascent,265499
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Final,FUT Esports vs Team Heretics,660392,Breeze,265500
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,Team Vitality vs Team Heretics,660386,Breeze,265477
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,Team Vitality vs Team Heretics,660386,Lotus,265478
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,Team Vitality vs Team Heretics,660386,Pearl,269000
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,Team Vitality vs Team Heretics,660386,Split,265480
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,Team Vitality vs Team Heretics,660386,Haven,265481
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Gen.G vs Global Esports,644652,Bind,258249
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Gen.G vs Global Esports,644652,Split,258250
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,T1 vs VARREL,644653,Haven,258252
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,T1 vs VARREL,644653,Pearl,258253
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Nongshim RedForce vs Paper Rex,644654,Fracture,258255
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Nongshim RedForce vs Paper Rex,644654,Split,258256
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Nongshim RedForce vs Paper Rex,644654,Lotus,258257
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,FULL SENSE vs DetonatioN FocusMe,644655,Pearl,258258
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,FULL SENSE vs DetonatioN FocusMe,644655,Bind,258259
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Team Secret vs Kiwoom DRX,644656,Pearl,258261
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Team Secret vs Kiwoom DRX,644656,Fracture,258262
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Rex Regum Qeon vs ZETA DIVISION,644657,Split,258264
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Rex Regum Qeon vs ZETA DIVISION,644657,Fracture,258265
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,Rex Regum Qeon vs ZETA DIVISION,644657,Haven,258266
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 2,DetonatioN FocusMe vs T1,644658,Pearl,258267
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 2,DetonatioN FocusMe vs T1,644658,Lotus,258268
